include	namespace	category	chapter	source	states	tag	x	y	z
			50	history	Common_Done|ScrapMetal_Collected				
N	Developers			census		Developers.Charles.eafwfe	23600	-130900	622350
N	Developers			census		Developers.Trailers.NefleStationScene	22340	-261073	-34650
N	Primary	ambient		census		Primary.010Intro2a_Station.BackRoom_SelfTalkTrigger	19220	-264990	-34710
	Primary			census		Primary.010Intro2a_Station.BasilThread	21385	-269286	-34497
	Primary			census		Primary.010Intro2a_Station.DiscoveringStation_Trigger01	20250	-270050	-34300
	Primary			census		Primary.010Intro2a_Station.DysonSphere	21720	-270144	-34560
	Primary			census		Primary.010Intro2a_Station.EnsureTrainSpawned	22132	-262311	-34700
	Primary		10	both	LoadCheckPointTrigger_Triggerd	Primary.010Intro2a_Station.EntranceStairsTop_LCP	21350	-267950	-34500
	Primary			census		Primary.010Intro2a_Station.EntranceStairsTop_TP	21350	-268050	-34700
	Primary	vanjump	10	both	LoadCheckPointTrigger_Triggerd	Primary.010Intro2a_Station.FirstFloorStationEntrance_Jump_LCP	20900	-264900	-34500
	Primary	vanjump		census		Primary.010Intro2a_Station.FirstFloorStationEntrance_Jump_TP	21100	-264550	-34650
	Primary		10	both	LoadCheckPointTrigger_Triggerd	Primary.010Intro2a_Station.FirstFloorStationEntrance_Ticket_LCP	22000	-263550	-34500
	Primary			census		Primary.010Intro2a_Station.FirstFloorStationEntrance_Ticket_TP	21800	-263150	-34650
N	Primary	ambient		census		Primary.010Intro2a_Station.LookStars_SelfTalk02	22040	-266440	-34980
N	Primary	ambient		census		Primary.010Intro2a_Station.MeetNefleInTrainDialogue	0	0	0
N	Primary	ambient		census		Primary.010Intro2a_Station.MissTrain_SelfTalkTrigger	21150	-262750	-34550
	Primary		10	history	Common_Done	Primary.010Intro2a_Station.Prologue			
	Primary		10	history	Common_Done	Primary.010Intro2a_Station.Quest			
N	Primary	ambient		census		Primary.010Intro2a_Station.SelfTalk_AngryRobot	21710	-265625	-34965
N	Primary	ambient		census		Primary.010Intro2a_Station.SelfTalk_CorgiAd	20521	-265730	-34960
N	Primary	ambient		census		Primary.010Intro2a_Station.SelfTalk_LostBag	21637	-266845	-34988
N	Primary	ambient		census		Primary.010Intro2a_Station.SelfTalk_MeetTrain	21145	-260815	-34495
	Primary			census		Primary.010Intro2a_Station.SpatioTrainArrivalTrigger	0	0	0
	Primary		10	both	LoadCheckPointTrigger_Triggerd	Primary.010Intro2a_Station.TrainStopTunnelEnd_LCP	21150	-261550	-34500
	Primary			census		Primary.020WelcomeBackToCigalo2b_DrivingRoseToHerPlace.EstelloToRose	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_DrivingRoseToHerPlace.TaxiA	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_DrivingRoseToHerPlace.TaxiB	0	0	0
	Primary			census		Primary.020WelcomeBackToCigalo2b_DrivingRoseToHerPlace.TrustingSauge	0	0	0
	Primary		20	history	Upgrade_Unlocked	Primary.020WelcomeBackToCigalo2b_DrivingRoseToHerPlace.UseVan			
	Primary	jammer	20	history	Upgrade_Unlocked	Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.BigReunionB			
	Primary	jammer		census		Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.BigReunion_First	0	0	0
	Primary	jammer		census		Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.BigReunion_Second	0	0	0
	Primary	jammer		census		Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.CepRosApero	0	0	0
	Primary	jammer		census		Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.CleOliApero	0	0	0
	Primary	jammer	20	both	Jammer_Broken	Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.JammerToBreakNoDM	0	0	0
	Primary	scrap		census		Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.ScrapsQuest	0	0	0
	Primary	jammer		census		Primary.020WelcomeBackToCigalo2b_EstelloJammerCrisis.YucSafApero	70815	-44975	3070
	Primary			census		Primary.020WelcomeBackToCigalo2b_TrainStop.FromStationPreLoadTargetPoint	107394	-33989	957
