id	name	apworld_chapter	kind	category
7681013	Primary.030GetTheTools3a_AntennaUnlocked.BuildAntenna	30	build	
7681420	World.MetaNefleAntenna.ScrapB	30	tag	scrap
7681419	World.MetaNefleAntenna.ScrapA	30	tag	scrap
7681043	Primary.Common.030End	30	tag	
7681019	Primary.040.StartSecondary	30	tag	
7681068	Secondary.ClementineWaterPressure.Start	30	tag	
7681113	Secondary.RoseToolRobot.ToolDelivered	30	tag	
7681108	Secondary.RoseToolRobot.QuestDone	30	tag	
7681052	Primary.Common.VillageDoorOpen	30	tag	door/gate
7681018	Primary.040.OpenWorldOpened	30	tag	
7681066	Secondary.ClementineWaterPressure.PumpRepaired	30	tag	
7681067	Secondary.ClementineWaterPressure.QuestDone	30	tag	
7681405	World.Guarrigue.VanJump6	30	tag	vanjump
7681587	Plushy #4	30	pool	pool
7681609	Snack #2	30	pool	pool
7681406	World.Guarrigue_CollectibleRuinA.SmallScrapA	30	tag	scrap
7681283	World.Desert_Heliport.Scrap_160	0	tag	scrap
7681278	World.Desert_Heliport.Scrap_110	0	tag	scrap
7681156	World.CalanquesHigh_MediumFactoryRuin.SmallScrapB	30	tag	scrap
7681155	World.CalanquesHigh_MediumFactoryRuin.SmallScrapA	30	tag	scrap
7681558	Clue #3	30	pool	pool
7681152	World.CalanquesHigh_MediumFactoryRuin.Scrap_53	30	tag	scrap
7681149	World.CalanquesHigh_MediumFactoryRuin.Scrap_108	30	tag	scrap
7681158	World.CalanquesHigh_MediumFactoryRuin.SmallScrapF	30	tag	scrap
7681157	World.CalanquesHigh_MediumFactoryRuin.SmallScrapD	30	tag	scrap
7681291	World.Desert_Heliport.Scrap_81	0	tag	scrap
7681598	Sandwich Clue #2	50	pool	pool
7681351	World.Desert_RobotFactory.Scrap_CalanqueGate_02	50	tag	scrap
7681467	World.Shore.Scrap_CalanqueGate_03	50	tag	scrap
7681469	World.Shore.VanJump5	90	tag	vanjump
7681468	World.Shore.Scrap_Desert_01	70	tag	scrap
7681523	World.Shore_FallenSpaceShip.Scrap_03	30	tag	scrap
7681497	World.Shore_FallenSpaceShip.Scrap15	30	tag	scrap
7681498	World.Shore_FallenSpaceShip.Scrap17	30	tag	scrap
7681489	World.Shore_FallenSpaceShip.Jammer	30	tag	jammer
7681527	World.Shore_FallenSpaceShip.Scrap_17	30	tag	scrap
7681221	World.Desert.VanJump4	90	tag	vanjump
7681610	Snack #3	30	pool	pool
7681611	Snack #4	30	pool	pool
7681479	World.Shore_CliffRuin.Scrap_0654	30	tag	scrap
7681612	Snack #5	30	pool	pool
7681477	World.Shore_CliffRuin.Scrap_04	30	tag	scrap
7681473	World.Shore_CliffRuin.ScrapP	30	tag	scrap
7681470	World.Shore_CliffRuin.ScrapM	30	tag	scrap
7681483	World.Shore_CliffRuin.Scrap_147	30	tag	scrap
7681485	World.Shore_CliffRuin.Scrap_31	30	tag	scrap
7681472	World.Shore_CliffRuin.ScrapMetal_58	30	tag	scrap
7681471	World.Shore_CliffRuin.ScrapMetal_05	30	tag	scrap
7681478	World.Shore_CliffRuin.Scrap_06	30	tag	scrap
7681599	Sandwich Clue #3	50	pool	pool
7681073	Secondary.HylaAdventure.ArchivesParabol	30	tag	
7681482	World.Shore_CliffRuin.Scrap_135	30	tag	scrap
7681559	Clue #4	30	pool	pool
7681078	Secondary.HylaAdventure.ParabolRuin.Finished	30	tag	
7681263	World.Desert_Heliport.ScrapG	30	tag	scrap
7681280	World.Desert_Heliport.Scrap_127	30	tag	scrap
7681265	World.Desert_Heliport.ScrapH	30	tag	scrap
7681279	World.Desert_Heliport.Scrap_121	30	tag	scrap
7681285	World.Desert_Heliport.Scrap_174	90	tag	scrap
7681282	World.Desert_Heliport.Scrap_159	0	tag	scrap
7681287	World.Desert_Heliport.Scrap_24	0	tag	scrap
7681276	World.Desert_Heliport.Scrap_03	0	tag	scrap
7681324	World.Desert_RobotFactory.Scrap_12	30	tag	scrap
7681319	World.Desert_RobotFactory.Scrap_04	0	tag	scrap
7681357	World.Desert_RobotFactory.SmallScrapA	30	tag	scrap
7681349	World.Desert_RobotFactory.Scrap_87	30	tag	scrap
7681333	World.Desert_RobotFactory.Scrap_182	30	tag	scrap
7681020	Primary.040AcquireGrapple.JammerBroken	30	tag	jammer
7681303	World.Desert_RobotFactory.Jammer_Factory	30	tag	jammer
7681342	World.Desert_RobotFactory.Scrap_36	30	tag	scrap
7681350	World.Desert_RobotFactory.Scrap_99	30	tag	scrap
7681359	World.Desert_RobotFactory.SmallScrapM	30	tag	scrap
7681336	World.Desert_RobotFactory.Scrap_196	30	tag	scrap
7681302	World.Desert_RobotFactory.Factory_scrap_02	30	tag	scrap
7681353	World.Desert_RobotFactory.Scrap_Factory_01	30	tag	scrap
7681347	World.Desert_RobotFactory.Scrap_64	30	tag	scrap
7681344	World.Desert_RobotFactory.Scrap_52	30	tag	scrap
7681348	World.Desert_RobotFactory.Scrap_81	30	tag	scrap
7681354	World.Desert_RobotFactory.Scrap_Factory_06	0	tag	scrap
7681338	World.Desert_RobotFactory.Scrap_28	30	tag	scrap
7681341	World.Desert_RobotFactory.Scrap_35	30	tag	scrap
7681312	World.Desert_RobotFactory.ScrapQ	30	tag	scrap
7681329	World.Desert_RobotFactory.Scrap_157	30	tag	scrap
7681335	World.Desert_RobotFactory.Scrap_19	30	tag	scrap
7681345	World.Desert_RobotFactory.Scrap_53	30	tag	scrap
7681084	Secondary.LostNomads.Met	30	tag	
7681398	World.Desert_TutoRuinCable.Scrap_191	30	tag	scrap
7681386	World.Desert_StormWall.Scrap_37	0	tag	scrap
7681388	World.Desert_StormWall.Scrap_65	0	tag	scrap
7681385	World.Desert_StormWall.Scrap_27	0	tag	scrap
7681374	World.Desert_StormWall.ScrapZ	0	tag	scrap
7681548	World.Village.Scrap_14	30	tag	scrap
7681613	Snack #6	30	pool	pool
7681550	World.Village.Scrap_184	30	tag	scrap
